KABKOT,GINI,L,THEIL,CLUST2,CLUST3,CLUST4,CLUST5
PACITAN,0.35135,0.23834,0.20163,1,3,4,4
PONOROGO,0.37983,0.27595,0.23398,1,3,4,4
TRENGGALEK,0.37889,0.25603,0.22902,1,3,4,4
TULUNGAGUNG,0.33635,0.21376,0.18445,1,3,3,3
BLITAR,0.34774,0.21249,0.19412,1,3,3,3
KEDIRI,0.32538,0.19269,0.17053,1,3,3,3
MALANG,0.37053,0.25824,0.22253,1,3,3,5
LUMAJANG,0.29693,0.15557000000000001,0.13975,1,1,1,1
JEMBER,0.31778,0.17799,0.15989,1,1,1,1
BANYUWANGI,0.31595,0.18558,0.16412,1,1,1,1
BONDOWOSO,0.32895,0.2006,0.17275,1,1,1,1
SITUBONDO,0.30473,0.17614,0.14982,1,1,1,1
PROBOLINGGO,0.32634,0.23599,0.17557,1,1,1,1
PASURUAN,0.3464,0.24698,0.19779,1,3,3,3
SIDOARJO,0.33983,0.22146,0.19139,1,3,3,3
MOJOKERTO,0.32509,0.19172,0.1711,1,3,3,3
JOMBANG,0.33409,0.20279,0.17963,1,3,3,3
NGANJUK,0.33481,0.2171,0.18027,1,3,3,3
MADIUN,0.35661,0.22064,0.20486,1,3,3,3
MAGETAN,0.32446,0.18117,0.16831,1,3,3,3
NGAWI,0.33651,0.19573,0.18108,1,3,3,3
BOJONEGORO,0.30285,0.15866,0.14484,1,3,3,3
TUBAN,0.33664,0.23829,0.1883,1,3,3,3
LAMONGAN,0.29558,0.15649,0.14365,2,2,2,2
GRESIK,0.29873,0.15014,0.14742,2,2,2,2
BANGKALAN,0.32163,0.17245,0.16941,2,2,2,2
SAMPANG,0.2621,0.12546,0.10942,2,2,2,2
PAMEKASAN,0.32022,0.17128,0.16139,2,2,2,2
SUMENEP,0.25559,0.10947,0.10651,2,2,2,2
KOTA KEDIRI,0.34611,0.21306,0.19237,1,3,3,3
KOTA BLITAR,0.34372,0.22022,0.19222,1,3,3,3
KOTA MALANG,0.39507,0.28306,0.25798,1,3,3,5
KOTA PROBOLINGGO,0.3109,0.16647,0.15901,1,1,1,1
KOTA PASURUAN,0.30107,0.15682,0.14333,1,1,1,1
KOTA MOJOKERTO,0.35473,0.22514,0.2048,1,3,3,3
KOTA MADIUN,0.3919,0.2568,0.2529,1,3,4,4
KOTA SURABAYA,0.34392,0.2276,0.19614,1,3,3,3
KOTA BATU,0.333,0.21587,0.18162,1,3,3,3
